BATHRM,HF_BATHRM,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,SALEDATE,SALEMONTH,SALEDAY,SALEYEAR,GBA,CNDTN,LANDAREA,PRICE
2,0,6,3,1913,2004,2,11/9/17 0:00,11,9,2017,960,Good,1400,1041000
3,1,10,4,1880,2006,3,9/8/17 0:00,9,8,2017,3151,Good,2762,2600000
5,0,8,4,1888,2005,3,7/18/08 0:00,7,18,2008,2718,Very Good,1273,1225000
4,1,11,5,1885,2007,3,9/3/14 0:00,9,3,2014,2781,Excellent,1536,2435000
5,1,17,5,1872,2002,3,4/23/18 0:00,4,23,2018,3805,Very Good,5846,4380000
6,1,8,6,1885,1980,3,3/7/17 0:00,3,7,2017,4035,Good,2524,2600000
5,0,15,6,1885,1979,3,5/27/15 0:00,5,27,2015,3933,Average,2424,2050000
5,1,9,5,1885,2009,3,10/21/10 0:00,10,21,2010,4116,Average,2523,1480000
5,1,15,5,1883,2011,3,7/26/10 0:00,7,26,2010,4439,Good,3714,1960000
5,0,14,6,1895,1985,3,3/21/95 0:00,3,21,1995,4045,Average,1384,95960
4,0,9,4,1900,1989,3,1/10/11 0:00,1,10,2011,2280,Average,1478,200000
4,0,20,8,1900,2007,3,6/6/03 0:00,6,6,2003,2280,Good,1550,736000
4,1,7,4,1900,1985,3,9/12/17 0:00,9,12,2017,3336,Average,2147,1450000
4,0,11,8,1900,2012,3,11/3/94 0:00,11,3,1994,3740,Good,2546,400000
2,1,8,3,1900,2010,3,7/16/13 0:00,7,16,2013,1360,Good,1020,848000
3,0,12,6,1905,2008,3,5/9/03 0:00,5,9,2003,4193,Average,1808,650000
1,0,5,1,1833,2000,2,12/29/17 0:00,12,29,2017,960,Average,1090,635000
2,1,7,3,1890,2007,2,12/27/16 0:00,12,27,2016,1932,Very Good,1197,1477500
2,1,11,3,1895,2009,3,6/6/13 0:00,6,6,2013,2160,Good,1080,1071000
2,1,8,4,1985,2012,3,10/18/12 0:00,10,18,2012,2163,Good,1080,1065000
4,1,12,4,1885,2009,3,7/27/10 0:00,7,27,2010,2720,Good,2000,1406500
